"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage","Special Export Value"
"eb1cd297-cc6a-42d0-971d-bced22fc7a63","630899","G-force - Max & Avg - 630899","05/17/2022 1:36 AM","0.037","X Max: 0.037 g , Y Max: 0.888 g , Z Max: 0.406 g , Magnitude Max: 0.974 g , X Avg: 0.028 g , Y Avg: 0.88 g , Z Avg: 0.395 g , Magnitude Mean: 0.964 g","100","0.037|0.888|0.406|0.974|0.028|0.88|0.395|0.964|0","0","971850","False","0","2.96"
"fd255d83-9452-4d42-891b-abc191d6fd8e","630899","G-force - Max & Avg - 630899","05/17/2022 1:44 AM","0.913","X Max: 0.913 g , Y Max: 4 g , Z Max: 0.938 g , Magnitude Max: 4.183 g , X Avg: 0.028 g , Y Avg: 0.88 g , Z Avg: 0.395 g , Magnitude Mean: 0.964 g","100","0.913|4|0.938|4.183|0.028|0.88|0.395|0.964|2","2","971850","True","0","2.96"
"232edc5b-2191-4b1f-93e0-316c92db739d","630899","G-force - Max & Avg - 630899","05/17/2022 1:54 AM","0.03","X Max: 0.03 g , Y Max: 0.891 g , Z Max: 0.398 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.387 g , Magnitude Mean: 0.964 g","100","0.03|0.891|0.398|0.973|0.023|0.883|0.387|0.964|0","0","971850","False","0","2.96"
"3dd4d01e-83f5-460a-bde2-8d997a30ab87","630899","G-force - Max & Avg - 630899","05/17/2022 2:04 AM","0.031","X Max: 0.031 g , Y Max: 0.891 g , Z Max: 0.398 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.387 g , Magnitude Mean: 0.964 g","100","0.031|0.891|0.398|0.974|0.023|0.883|0.387|0.964|0","0","971850","False","0","2.96"
"e9ca7f43-6984-446b-b01d-f02d0f0f4790","630899","G-force - Max & Avg - 630899","05/17/2022 2:14 AM","0.032","X Max: 0.032 g , Y Max: 0.891 g , Z Max: 0.398 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.387 g , Magnitude Mean: 0.964 g","100","0.032|0.891|0.398|0.974|0.023|0.883|0.387|0.964|0","0","971850","False","0","2.96"
"06767599-a561-423e-8d63-5566b5c7bad6","630899","G-force - Max & Avg - 630899","05/17/2022 2:24 AM","0.031","X Max: 0.031 g , Y Max: 0.891 g , Z Max: 0.399 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.387 g , Magnitude Mean: 0.964 g","100","0.031|0.891|0.399|0.974|0.023|0.883|0.387|0.964|0","0","971850","False","0","2.96"
"ebdb4a86-2b41-4b95-baf5-c64afd572011","630899","G-force - Max & Avg - 630899","05/17/2022 2:34 AM","0.031","X Max: 0.031 g , Y Max: 0.891 g , Z Max: 0.398 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.387 g , Magnitude Mean: 0.964 g","100","0.031|0.891|0.398|0.974|0.023|0.883|0.387|0.964|0","0","971850","False","0","2.96"
"e45c988f-8952-4fd4-afdb-30eff9b87e0c","630899","G-force - Max & Avg - 630899","05/17/2022 2:44 AM","0.03","X Max: 0.03 g , Y Max: 0.891 g , Z Max: 0.398 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.387 g , Magnitude Mean: 0.964 g","100","0.03|0.891|0.398|0.974|0.023|0.883|0.387|0.964|0","0","971850","False","0","2.96"
"24219600-5e16-44f0-9d00-58353e4758dd","630899","G-force - Max & Avg - 630899","05/17/2022 2:54 AM","0.031","X Max: 0.031 g , Y Max: 0.891 g , Z Max: 0.398 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.387 g , Magnitude Mean: 0.964 g","100","0.031|0.891|0.398|0.973|0.023|0.883|0.387|0.964|0","0","971850","False","0","2.96"
"47d7a922-3abf-448d-8ce8-b419fc52fe58","630899","G-force - Max & Avg - 630899","05/17/2022 3:04 AM","0.031","X Max: 0.031 g , Y Max: 0.891 g , Z Max: 0.398 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.387 g , Magnitude Mean: 0.964 g","100","0.031|0.891|0.398|0.973|0.023|0.883|0.387|0.964|0","0","971850","False","0","2.96"
